132	Pass	2	Over/In Net	1	12:11:23 AM
133	Defense	18	30	1	12:12:42 AM
134	Pass	6	74	1	12:12:43 AM
135	Spike	18	47	1	12:12:45 AM
136	Spiked	18	21	1	12:12:46 AM
137	Ground		75	1	12:12:50 AM
138	Defense	9	38	1	12:13:07 AM
139	Pass	6	50	1	12:13:08 AM
140	Spike	4	53	1	12:13:10 AM
141	Spiked	4	30	1	12:13:11 AM
142	Defense	13	62	1	12:13:15 AM
143	Pass	4	72	1	12:13:16 AM
144	Defense	18	31	1	12:13:32 AM
145	Pass		Side Out 2	1	12:13:33 AM
146	Defense	9	29	1	12:13:48 AM
147	Pass	6	75	1	12:13:50 AM
148	Spike	2	73	1	12:13:51 AM
149	Spiked	2	59	1	12:13:52 AM
150	Defense	18	47	1	12:13:56 AM
151	Spike	2	74	1	12:13:57 AM
152	Spiked	2	53	1	12:13:58 AM
153	Defense	9	32	1	12:14:02 AM
154	Pass	6	75	1	12:14:03 AM
155	Spike	2	65	1	12:14:04 AM
156	Spiked	2	32	1	12:14:06 AM
157	Defense	2	66	1	12:14:09 AM
158	Pass		Side Out 1	1	12:14:10 AM
159	Defense	13	32	1	12:14:27 AM
160	Pass	6	57	1	12:14:29 AM
161	Spike	4	80	1	12:14:30 AM
162	Spiked	4	58	1	12:14:31 AM
163	Defense	2	74	1	12:14:33 AM
164	Pass	6	50	1	12:14:34 AM
165	Spike	4	71	1	12:14:36 AM
166	Spiked	4	39	1	12:14:38 AM
167	Defense	6	80	1	12:14:42 AM
168	Pass	13	53	1	12:14:43 AM
169	Spike	2	74	1	12:14:45 AM
170	Spiked	2	36	1	12:14:46 AM
171	Defense	6	77	1	12:14:50 AM
172	Pass	13	69	1	12:14:51 AM
173	Spike	18	75	1	12:14:53 AM
174	Spiked	18	19	1	12:14:54 AM
175	Ground		75	1	12:14:58 AM
176	Defense	9	28	1	12:15:19 AM
177	Pass		Side Out 1	1	12:15:20 AM
178	Defense	9	30	1	12:16:25 AM
179	Ground		37	1	12:16:25 AM
180	Defense	18	30	1	12:16:40 AM
181	Pass	6	66	1	12:16:41 AM
182	Spike	4	63	1	12:16:42 AM
183	Spiked	4	65	1	12:16:43 AM
184	Defense	9	18	1	12:16:44 AM
185	Pass	6	75	1	12:16:46 AM
186	Ground		77	1	12:16:47 AM
187	Defense	18	38	1	12:17:02 AM
188	Pass	6	59	1	12:17:04 AM
189	Spike	2	74	1	12:17:06 AM
190	Spiked	2	24	1	12:17:07 AM
191	Defense	13	52	1	12:17:10 AM
192	Defense	13	51	2	12:00:02 AM
193	Pass	6	68	2	12:00:04 AM
194	Spike	2	73	2	12:00:06 AM
195	Spiked	2	41	2	12:00:07 AM
196	Defense	13	31	2	12:00:11 AM
197	Pass	6	67	2	12:00:12 AM
198	Defense	2	57	2	12:00:25 AM
199	Pass		Side Out 3	2	12:00:27 AM
200	Served	6	34	3	12:00:08 AM
201	Defense	4	51	3	12:00:12 AM
